rating,artist,song
10,10 CC,Dreadlock Holiday
10,Aerosmith,Dream On
10,Booker T. & the MGs,Green Onions
10,"Crosby, Stills, Nash & Young",Almost Cut My Hair
10,Dire Straits,Brothers In Arms
10,Led Zeppelin,When The Levee Breaks
10,Led Zeppelin,Kashmir
10,Ludovico Einaudi,Primavera
10,Massive Attack,Safe From Harm
10,Metallica,Nothing Else Matters (symphonic)
10,Pink Floyd,The Great Gig In The Sky
10,Pink Floyd,Echoes (remix)
10,Pink Floyd,Welcome To The Machine
10,Pink Floyd,Us & Them -> Eclipse
10,Pink Floyd,Wish You Were Here
10,Porcupine Tree,Drown With Me
10,Porcupine Tree,Trains
10,Portishead,Roads
10,The Black Keys,Gold On the Ceiling
10,The Cinematic Orchestra,To Build A Home
10,The Rolling Stones,Brown Sugar
10,The Rolling Stones,Midnight Rambler
10,The Rolling Stones,Can't You Hear Me Knocking
10,The Rolling Stones,Gimme Shelter
10,The Rolling Stones,Sympathy for the Devil
10,The Who,Pinball Wizard
9,Amy Winehouse,Back To Black
9,Annie Lennox,Don't Let It Bring You Down
9,Antonio Vivaldi,The 4 Seasons: Summer
9,Bonobo,Between The Lines (feat. Bajka)
9,Bruce Springsteen,Jungleland
9,Cat Stevens,Father & Son
9,Chicago,I'm A Man
9,Chris Isaak,Wicked Game
9,Coldplay,Talk
9,Coldplay,God Put A Smile Upon Your Face
9,Counting Crows,Mr. Jones
9,Creedence Clearwater Revival,Fortunate Son
9,Deadmau5,The Veldt
9,Deadmau5,4ware
9,Death Cab for Cutie,I Will Possess Your Heart
9,Dire Straits,On Every Street
9,Dire Straits,Sultans Of Swing
9,Doves,Firesuite
9,Electric Light Orchestra,Fire On High
9,Elton John,Rocket Man
9,Eric Clapton,While My Guitar Gently Weeps (live)
9,Erik Satie,Gnossienne No1
9,Eva Cassidy,Ain't No Sunshine
9,Fleet Foxes,Blue Ridge Mountains
9,Fleetwood Mac,The Chain
9,Fleetwood Mac,Go Your Own Way
9,Florence + The Machine,What the Water Gave Me
9,Foo Fighters,Everlong (acoustic)
9,Fun Lovin' Criminals,There Was A Time
9,Garbage,Only Happy When it Rains
9,Gary Jules,Mad World
9,George Winston,Cast Your Fate to the Wind
9,Gerry Rafferty,Baker Street
9,Gnarls Barkley,Crazy
9,Gotan Project,Epoca
9,Grateful Dead,Althea
9,Ian Brown,Keep What Ya Got
9,Isaac Hayes,Theme From 'Shaft'
9,Jack White,Missing Pieces
9,Jefferson Airplane,White Rabbit
9,Jimi Hendrix,All Along The Watchtower
9,Johann Sebastian Bach,"Violin Concerto No.4 In E, Adagio"
9,Johann Sebastian Bach,Toccata in D minor
9,John Lennon,Imagine
9,Joseph Arthur,Travel As Equals
9,Keren Ann,My Name Is Trouble
9,Led Zeppelin,Dazed and Confused
9,Led Zeppelin,Heartbreaker
9,Led Zeppelin,Babe I'm Gonna Leave You
9,Led Zeppelin,Ramble On
9,Led Zeppelin,Going To California
9,Led Zeppelin,Immigrant Song
9,Led Zeppelin,Whole Lotta Love
9,Led Zeppelin,The Rain Song
9,London Philharmonic Orchestra,Kashmir
9,Ludovico Einaudi,Time Lapse
9,Ludovico Einaudi,Divenire
9,Marc Cohn,Walking In Memphis
9,Mark Knopfler,What It Is
9,Marvin Gaye,What's Going On
9,Massive Attack,Protection
9,Massive Attack,Inertia Creeps
9,Massive Attack,Angel
9,Massive Attack,Teardrop
9,Metric,Blindness
9,Midnight Oil,Beds Are Burning
9,Morcheeba,Enjoy the Ride
9,Morcheeba,The Sea
9,Nat King Cole,Nature Boy
9,Neil Young,Dont Let It Bring You Down
9,Nick Drake,River Man
9,Nick Drake,Day Is Done
9,Pearl Jam,Black
9,Pink Floyd,Shine On You Crazy Diamond (live)
9,Pink Floyd,Money (live)
9,Pink Floyd,Time
9,Pink Floyd,Us And Them -> Eclipse (live)
9,Pink Floyd,Comfortably Numb
9,Pink Floyd,Have A Cigar
9,Pink Floyd,Shine On You Crazy Diamond
9,Porcupine Tree,Start of Something Beautiful
9,Porcupine Tree,Sentimental
9,Porcupine Tree,Disappear
9,Porcupine Tree,Stars Die
9,Porcupine Tree,Buying New Soul (Live)
9,Portishead,Glory Box
9,Portishead,Sour Times
9,Red Hot Chili Peppers,Otherside
9,Red Hot Chili Peppers,Snow (Hey Oh)
9,Red Hot Chili Peppers,Dani California
9,R.E.M.,Find The River
9,R.E.M.,Nightswimming
9,R.E.M.,Orange Crush
9,Simon & Garfunkel,Scarborough Fair
9,Sneaker Pimps,6 Underground (Nellee Hooper Edit)
9,Snow Patrol,The Lightning Strike
9,Spirit,Taurus
9,Stevie Ray Vaughan,Riviera Paradise
9,Stevie Ray Vaughan,Voodoo Chile (Slight Return)
9,Stevie Wonder,Higher Ground
9,Syntax,Pride
9,Tame Impala,It Is Not Meant To Be
9,The Beatles,While My Guitar Gently Weeps
9,The Beatles,Eleanor Rigby
9,The Beatles,Blackbird
9,The Black Keys,Little Black Submarines
9,The Boxer Rebellion,Diamonds
9,The Cardigans,My Favourite Game
9,The Dandy Warhols,Bohemian Like You
9,The Dandy Warhols,We Used To Be Friends
9,The Doors,Riders On The Storm
9,The Eagles,The Last Resort
9,The Jam,Town Called Malice
9,The Mamas & The Papas,California Dreaming
9,The Rolling Stones,Beast Of Burden
9,The Rolling Stones,You Can't Always Get What You Want
9,The Who,Who Are You
9,Tom Petty & The Heartbreakers,Mary Jane's Last Dance
9,Vast,Touched
9,War,Low Rider
8,Adele,Rolling In The Deep
8,Aimee Mann,Wise Up
8,Aimee Mann,Save Me
8,Aimee Mann,Long Shot
8,Air,La Femme D'Argent
8,Air,Playground Love
8,Alanis Morissette,Thank U
8,Alejandro Escovedo,Wave
8,Alice Russell,High Up On The Hook
8,Allman Brothers,Whipping Post
8,Allman Brothers,Jessica
8,Alphaville,Big In Japan
8,Alt-J,Hunger of the Pine
8,Alt-J,Tessellate (Broadbandits Afro Mix)
8,Amy Winehouse,You Know I'm No Good
8,A Perfect Circle,Gravity
8,Apocalyptica,Ruska
8,Arcade Fire,We Exist
8,Arctic Monkeys,Do I Wanna Know?
8,B.B. King,The Thrill Is Gone
8,B.B. King & Tracy Chapman,The Thrill Is Gone
8,Beck,Everybody's Got To Learn Sometime
8,Beck,Scarecrow
8,Beethoven,Symphony No.5 - Allegro Con Brio
8,Ben Harper,Burn to Shine
8,Ben l'Oncle Soul,Seven Nation Army
8,Boz Scaggs,Loan Me A Dime
8,Broken Bells,The High Road
8,Broken Bells,Perfect World
8,Bruce Cockburn,The End of All Rivers
8,Bruce Hornsby,The Way It Is
8,Buckethead,Whitewash
8,Buddy Guy,Out In The Woods (w/ Robert Randolph)
8,Buena Vista Social Club,Chan Chan
8,Cake,Short Skirt Long Jacket
8,Carice van Houten,Siren or the Sea
8,Cat Stevens,Into White
8,Chris Isaak,Please
8,Christy Moore,Delirium Tremens
8,Claude Ginsburg & Julie King,Waiting For Snow
8,Coldplay,Shiver
8,Colin Hay,Down Under
8,Cracker,Sidi Ifni
8,Creedence Clearwater Revival,I Put A Spell On You
8,"Crosby, Stills & Nash",Dark Star
8,"Crosby, Stills, Nash & Young",Woodstock
8,Crowded House,Weather With You
8,Dave Brubeck,Take Five
8,David Bowie,Heroes
8,David Bowie,The Man Who Sold The World
8,David Gilmour,No Way
8,Death Cab for Cutie,Doors Unlocked and Open
8,Deodato,Also Sprach Zarathustra
8,Derek and the Dominos,Have You Ever Loved A Woman
8,Dick Dale,Miserlou
8,Dire Straits,Single Handed Sailor
8,Dire Straits,Tunnel of Love
8,Don Henley,The Boys of Summer
8,Dr. John,Right Place Wrong Time
8,Eagle-Eye Cherry,Desireless
8,Echo & the Bunnymen,Evergreen
8,Eels,Novocaine for the Soul
8,Elbow,Lippy Kids
8,Ennio Morricone,"The Good, The Bad & The Ugly"
8,Everlast,Black Jesus
8,Finn Brothers,Suffer Never
8,Fleetwood Mac,Rhiannon
8,Fleetwood Mac,Oh Well
8,Foo Fighters,Down In The Park
8,Foo Fighters,Times Like These
8,Foo Fighters,Everlong
8,Glen Hansard,You Will Become
8,Gogol Bordello,Tribal Connection
8,Golden Earring,Radar Love
8,Goldfrapp,Annabel
8,Gorillaz,Tomorrow Comes Today
8,Gorillaz,Feel Good Inc.
8,Grant-Lee Phillips,Humankind
8,Green Day,When I Come Around
8,Gustavo Santaolalla,Deportation/Iguazu
8,Guster,Lightning Rod
8,Gypsy Tailwind,Way To Here
8,Henry Mancini & His Orchestra,The Pink Panther Theme
8,Herbie Hancock,Maiden Voyage
8,Herbie Hancock,Cantaloupe Island
8,Hooverphonic,2 Wicky
8,Ian Moore,The Agitator
8,Jack Johnson,Upside Down
8,Jack White,Blunderbuss
8,Jake Shimabukuro,While My Guitar Gently Weeps
8,Jeff Buckley,Hallelujah
8,Jefferson Airplane,Somebody to Love
8,Jerry Douglas,Route Irish
8,Jimi Hendrix,Little Wing
8,Jimi Hendrix,Red House
8,Joe Jackson,It's Different For Girls
8,John Coltrane,Naima
8,John Coltrane,Theme For Ernie
8,John Hiatt,Adios to California
8,John Martyn,Glory Box
8,Johnny Cash,Hurt
8,Josh Ritter,Joy To You Baby
8,Junip,Chickens
8,Kate Bush,Cloudbusting
8,Kermit the Frog,Rainbow Connection
8,Kings of Leon,Pyro
8,Kraftwerk,Autobahn
8,KT Tunstall,Another Place to Fall
8,Led Zeppelin,Tangerine
8,Led Zeppelin,What Is And What Should Never Be
8,Led Zeppelin,Nobody's Fault But Mine
8,Led Zeppelin,Your Time is Gonna Come/Black Mountain S
8,Led Zeppelin,That's The Way
8,Leonard Cohen,Darkness
8,Madrugada,This Old House
8,Madrugada,Majesty (Live)
8,Madrugada,Majesty
8,Mamas and the Papas,Dream a Little Dream of Me
8,Manu Chao,Bongo Bong
8,Mark Knopfler & Emmylou Harris,Right Now
8,Marvin Gaye,I Heard It Through the Grapevine
8,Massive Attack,Paradise Circus
8,Massive Attack,Unfinished Sympathy
8,Massive Attack,What Your Soul Sings
8,Mazzy Star,California
8,"Medeski, Martin & Wood",End of the World Party
8,"Medeski, Martin & Wood",Ice
8,Men at Work,Land Down Under
8,Metric,Speed the Collapse
8,Mich Gerber,By Your Side (feat. Bajka)
8,Miles Davis,Nature Boy
8,Miles Davis,Freddie Freeloader
8,Moby,Extreme Ways
8,Mono,"Silent Flight, Sleeping Dawn"
8,Morcheeba,Blood Like Lemonade
8,Mozart,Symphony No. 40 - Molto Allegro
8,Mozart,Eine Kleine Nachtmusik - Allegro
8,Muse,Uprising
8,Nada Surf,Always Love
8,Neil Young,War of Man
8,Neil Young,After the Gold Rush
8,Nerina Pallot,Lot Like Heaven
8,Nick Drake,Things Behind The Sun
8,Nirvana,Smells Like Teen Spirit
8,Oi Va Voi,Worry Lines
8,Paul Simon,You Can Call Me Al
8,Pearl Jam,Black (Live)
8,Pearl Jam,Elderly Woman Behind the Counter in a Sm
8,Pearl Jam,Immortality (Live)
8,Pearl Jam,Yellow Ledbetter
8,Pink Floyd,High Hopes
8,Pink Floyd,What Do You Want From Me
8,Pink Floyd,Another Brick In The Wall [Parts 1 & 2]
8,Pink Floyd,Mother
8,Pink Floyd,Another Brick In The Wall (Part 2)
8,Pixies,Where Is My Mind
8,PJ Harvey,A Place Called Home
8,Porcupine Tree,The Sound Of Muzak
8,Porcupine Tree,Mellotron Scratch
8,Porcupine Tree,Even Less
8,Porcupine Tree,Time Flies
8,Portishead,The Rip
8,Radical Face,Ghost Towns
8,Radio Citizen (feat. Bajka),The Hop
8,Radiohead,Karma Police
8,Radiohead,The Daily Mail
8,Ray Charles,Hit The Road Jack
8,Ray Charles,What'd I Say (Parts I & II)
8,Red Hot Chili Peppers,Under The Bridge
8,Regina Spektor,Ballad of a Politician
8,Regina Spektor,All the Rowboats
8,R.E.M.,Me In Honey
8,R.E.M.,The Sidewinder Sleeps Tonite
8,R.E.M.,"What's The Frequency, Kenneth"
8,R.E.M.,Imitation of Life
8,R.E.M.,Losing My Religion
8,R.E.M.,Bang and Blame
8,Rodrigo y Gabriela,Stairway to Heaven
8,Santana,Incident At Neshabur
8,Santana,Eternal Caravan/Waves Within
8,Santana,Hope You're Feeling Better
8,Santana,Jingo
8,Sarah Harmer,Almost
8,Shivaree,Goodnight Moon
8,Show of Hands,Roots
8,Sister Hazel,Gold Dust Woman
8,Snow Patrol,Shut Your Eyes
8,Sofi Tukker,Deja Vu Affair
8,Soha,C'est bien mieux comme ca
8,Spencer Davis Group,I'm A Man
8,Spirit,It Shall Be
8,Spirit,Fresh Garbage
8,Spoon,The Mystery Zone
8,Stevie Ray Vaughan,Cold Shot
8,Stevie Ray Vaughan,Pride and Joy
8,Stevie Wonder,Superstition
8,Stevie Wonder,Pastime Paradise
8,Stone Roses,Fools Gold
8,Stone Temple Pilots,Interstate Love Song
8,Strawberry Alarm Clock,Incense and Peppermints
8,Sugarloaf,Green-Eyed Lady
8,Supertramp,Even In The Quietest Moments
8,Supertramp,Breakfast In America
8,Syntax,Bliss
8,The Airborne Toxic Event,Sometime Around Midnight
8,The Beatles,Dig A Pony
8,The Black Keys,Turn Blue
8,The Black Keys,Mind Eraser
8,The Black Keys,Lonely Boy
8,The Black Keys,Run Right Back
8,The Black Keys,Dead and Gone
8,The Breeders,Cannonball
8,The Cult,She Sells Sanctuary
8,The Dandy Warhols,Plan A
8,The Dandy Warhols,You Were The Last High
8,The Derek Trucks Band,Already Free (live)
8,The Derek Trucks Band,Down In The Flood
8,The Doors,Light My Fire
8,The Eagles,Hotel California (live acoustic)
8,The Eagles,Journey Of The Sorcerer
8,The Heavy,Short Change Hero
8,The Kinks,You Really Got Me
8,The Lively Ones,Surf Rider
8,The Melodians,Rivers of Babylon
8,The Moody Blues,Nights in White Satin
8,The Postal Service,Such Great Heights
8,The Rolling Stones,Street Fighting Man
8,The Rolling Stones,Wild Horses
8,The Rolling Stones,Country Honk
8,The Rolling Stones,Honky Tonk Women
8,The Rolling Stones,Not Fade Away
8,The Rolling Stones,Miss You
8,The Shadows,Apache
8,The Verve,Lucky Man
8,The White Stripes,Ball And Biscuit
8,The Who,I Can't Explain
8,The Who,Baba O'Riley
8,Toad The Wet Sprocket,Something's Always Wrong
8,Todd Hannigan,Thicker Than Water
8,Tom Petty & The Heartbreakers,Learning To Fly
8,Tom Petty & The Heartbreakers,Shadow People
8,Tori Amos,Seven Sisters
8,Trace Bundy,Bristlecone
8,Traffic,Dear Mr. Fantasy
8,Trentemøller,Candy Tongue
8,U2,Magnificent
8,U2,I Still Haven't Found What I'm Looking F
8,U2,Beautiful Day
8,U2,One
8,Unkle,Be There (w/ Ian Brown)
8,Unkle,Reign
8,Van Morrison,Into The Mystic
8,Vast,Loneliness Is Fine
8,Vienna Teng,My Medea
8,Vince Guaraldi Trio,Cast Your Fate To The Wind
8,Warren Zevon,Werewolves Of London
8,Wilco,Box Full of Letters
8,William Orbit,Water from a Vine Leaf (w/ Beth Orton)
8,Wim Mertens,Close Cover
8,Younger Brother,Ribbon On A Branch
8,Zero 7,In the Waiting Line
7,2raumwohnung,Ich Weiß Warum
7,Adiemus,Adiemus
7,Aimee Mann,The Scientist (Live)
7,Aimee Mann,Save Me
7,Aimee Mann,Humpty Dumpty
7,Air,All I Need
7,Albert King & Stevie Ray Vaughan,Match Box Blues
7,Albert King & Stevie Ray Vaughan,Born Under A Bad Sign
7,Al Green,Love and Happiness
7,Allman Brothers,Soulshine
7,Allman Brothers,Trouble No More
7,Alt-J,Arrival In Nara
7,Alt-J,Something Good
7,Amadou & Mariam,Ce N'est Pas Bon
7,Amanda Jenssen,Happyland (Desert Mix)
7,Amelia Curran,Scattered & Small
7,Amy MacDonald,Across the Nile
7,Amy MacDonald,This Is the Life
7,Ane Brun,Virvelvind
7,Angelo Badalamenti,Laurens Walking
7,Antje Duvekot,Scream
7,Aquilo,Human
7,Bahamas,Lost In The Light
7,Band of Horses,The Funeral
7,Band of Skulls,Wanderluster
7,Beck,Dark Star
7,Beck,Heart is a Drum
7,Beck,Broken Drum (Boards of Canada Remix)
7,Béla Fleck,Katmandu
7,Ben Harper,Number With No Name
7,Ben Harper,Faded
7,Benny Goodman,"Sing, Sing, Sing"
7,Beth Orton,Stolen Car
7,Beth Orton,Thinking About Tomorrow
7,Big Head Todd & The Monsters,Bittersweet
7,Big Sugar,Come A Little Closer
7,Billy Preston,Outa Space
7,Blackfield,Christenings
7,Blackfield,My Gift Of Silence
7,Black Uhuru,Youth of Eglington
7,Blind Faith,Well All Right
7,Blitzen Trapper,Thirsty Man
7,Blondie,One Way or Another
7,Bob Dylan,Positively 4th Street
7,Bob Dylan,Man in the Long Black Coat
7,Bob Dylan,Gotta Serve Somebody
7,Bob Dylan,Like a Rolling Stone
7,Bob Marley,Buffalo Soldier
7,BoDeans,Good Things
7,Bo Diddley,Bo Diddley
7,Bonobo,El Toro
7,Boy & Bear,My Only One
7,Bright Eyes,We Are Nowhere and It's Now
7,Bruce Springsteen,Born To Run
7,Cake,Commissioning A Symphony In C
7,Cake,Love You Madly
7,Caro Emerald,That Man
7,Cat Stevens,Miles from Nowhere
7,Chrissie Hynde,In a Miracle
7,Coldplay,Don't Panic
7,Coldplay,White Shadows
7,Coldplay,Spies
7,Coldplay,Ghost Story
7,Colin Hay,I Just Don't Think I'll Ever Get Over Yo
7,Counting Crows,Rain King
7,Counting Crows,Round Here
7,"Crosby, Stills & Nash",Long Time Gone
7,Crowded House,Four Seasons In One Day
7,Danger Mouse & Daniele Luppi,Black (w/ Norah Jones)
7,Danger Mouse & Daniele Luppi,Two Against One (w/Jack White)
7,Dave Alvin,Ashgrove
7,Dave Brubeck,Koto Song
7,Dave Mason,Only You Know And I Know
7,Dave Matthews Band,Lying In The Hands Of God
7,David Bowie,China Girl
7,David Bowie,Fame
7,Death Cab for Cutie,Cath
7,Death Cab for Cutie,I Will Follow You into the Dark
7,Depeche Mode,Heaven
7,Derek and the Dominos,Key To The Highway
7,Diane Birch,Staring at You
7,Dire Straits,Skateaway
7,Dire Straits,Follow Me Home
7,Donna the Buffalo,If You Only Could
7,Donovan,Sunshine Superman
7,Doves,The Cedar Room
7,Doves,Darker
7,Doves,Satellites
7,Doves,The Greatest Denier
7,Eddie Vedder,Hard Sun
7,Edwyn Collins,A Girl Like You
7,Eels,Guest List
7,Eels,Your Lucky Day In Hell
7,Elbow,The Fix
7,Elbow,One Day Like This
7,Elbow,Jesus Is A Rochdale Girl
7,Elephant Stone,A Silent Moment
7,Elton John,Tiny Dancer
7,Emancipator,Anthem
7,Emiliana Torrini,Fingertips
7,Emory Joseph,Brown Eyed Women
7,Equation,Kissing Crime
7,Eric Clapton,Mainline Florida
7,Eric Clapton,The Core
7,Eva Cassidy,Wade In The Water
7,Eva Cassidy,Fields of Gold
7,Everything but the Girl,Missing
7,Filter,Take A Picture
7,Fink,Pilgrim
7,Fleet Foxes,Mykonos
7,Fleetwood Mac,Landslide
7,Fleetwood Mac,World Turning
7,Fleetwood Mac,Tell Me All The Things You Do
7,Florence + The Machine,"No Light, No Light"
7,Focus,Focus III
7,Foo Fighters,Still
7,Fotheringay,The Way I Feel
7,Four Tops,Reach Out I'll Be There
7,Future Islands,Time On Her Side
7,George Harrison,What Is Life
7,George Harrison,Isn't It A Pity
7,Githead,Take Off
7,Golden Palominos,Little Suicides
7,Gorillaz,Demon Days
7,Gorillaz,Empire Ants
7,Gotan Project,Santa María (del Buen Ayre)
7,Gotye,Smoke And Mirrors
7,Grant Lee Buffalo,Mockingbirds
7,Grateful Dead,Not Fade Away / Goin' Down the Road Feel
7,Grateful Dead,China-Rider
7,Greg Laswell,Your Ghost
7,Guster,Long Night
7,Harvey Reid,Racing the Storm
7,Hem,Half Acre
7,Hey Rosetta!,Young Glass
