rating,artist,song
7,High Violets,Wheel
7,Hooverphonic,One
7,Hooverphonic,Mad About You
7,INXS,Original Sin
7,It's A Beautiful Day,Don And Dewey
7,It's A Beautiful Day,Hot Summer Day
7,Jackson Browne,The Pretender
7,Jackson Browne,Running On Empty
7,Jackson Browne,Fountain Of Sorrow
7,Jacques Loussier Trio,Prelude No. 1 In C Major
7,James McMurtry,Levelland (live)
7,Jethro Tull,My God
7,Jethro Tull,Bouree
7,Jethro Tull,To Cry You a Song
7,Jimi Hendrix,Angel
7,J.J. Cale,City Girls
7,Joe Bonamassa,Stones In My Passway
7,Joe Bonamassa,Slow Train
7,Joe Bonamassa,I Got All You Need
7,Joe Bonamassa,Dust Bowl
7,Joe Satriani,Sleep Walk
7,Joe Strummer & The Mescaleros,Coma Girl
7,John Hiatt,Feels Like Rain
7,John Hiatt,Angel Eyes (live)
7,John Lennon,Jealous Guy
7,Jon Redfern,I Love The Sun
7,José González,Teardrop
7,José González,Stay Alive
7,Junip,Line Of Fire
7,Kasabian,Where Did All The Love Go?
7,Kathleen Edwards,In State
7,Keane,Your Eyes Open
7,Kenny Burrell,Chitlins Con Carne
7,Kent,Den Döda Vinkeln
7,KGB,Call It A Night
7,King Crimson,Epitaph
7,Lana Del Rey,Born to Die
7,Led Zeppelin,Communication Breakdown
7,Led Zeppelin,That's the Way (live)
7,Led Zeppelin,South Bound Saurez
7,Leftover Cuties,One Heart
7,Leo Kottke,Vaseline Machine Gun
7,Leonard Cohen,I'm Your Man
7,Live,Turn My Head
7,London Grammar,Nightcall
7,Ludovico Einaudi,Life
7,Ludovico Einaudi,Experience
7,Marc Broussard,Home
7,Mark-Almond,The City
7,Mark Knopfler,Privateering
7,Mark Knopfler,Coyote
7,Massive Attack,Everywhen
7,"Medeski, Martin & Wood",Reflector
7,Metric,Collect Call
7,Michael Hedges,Aerial Boundaries
7,Mick Jagger,Memo From Turner
7,Missy Higgins,Where I Stood
7,Mocean Worker,Shooby Shooby Do Yah!
7,Morcheeba,Slow Down
7,Morcheeba,Wonders Never Cease
7,Ms Mr,Hurricane
7,Muddy Waters,I Just Want to Make Love to You
7,Muse,Starlight
7,Nada Surf,Happy Kid
7,Natalie Merchant,Build A Levee
7,Neil Young,Natural Beauty
7,Neil Young,Revolution Blues
7,Neil Young,Cortez The Killer
7,Neil Young,Helpless
7,Nick Cave & The Bad Seeds,(Are You) The One I've Been Waiting For?
7,Nick Drake,Clothes Of Sand
7,Nick Drake,One Of These Things First
7,Nirvana,The Man Who Sold The World
7,Norah Jones,I Don't Wanna Hear Another Sound
7,Norah Jones,Say Goodbye
7,Old 97s,Jagged
7,Old 97s,The New Kid
7,Oscar Isaac,"Green, Green Rocky Road"
7,Other Lives,As I Lay My Head Down
7,Otis Redding,(Sittin' On) The Dock of the Bay
7,Ozric Tentacles,Aura Borealis
7,Patty Griffin,Cold As It Gets
7,Paul Banks,The Base
7,Paul Simon,The Boy In The Bubble
7,Paul Weller,I Walk On Gilded Splinters
7,Pentangle,Reflection
7,Peter Gabriel,I Grieve
7,Peter Gabriel,Growing Up
7,Peter Gabriel,Solsbury Hill
7,Peter Gabriel,Mercy Street
7,Pink Floyd,Fearless
7,Porcupine Tree,Prodigal
7,Porcupine Tree,Waiting
7,Porcupine Tree,Halo
7,Porcupine Tree,Sleep Together
7,Porcupine Tree,Fadeaway
7,Porcupine Tree,My Ashes
7,Porcupine Tree,Lips Of Ashes
7,Porcupine Tree,Dark Matter
7,Porcupine Tree,Lightbulb Sun
7,Queen,Bohemian Rhapsody
7,Queens of the Stone Age,I Sat By The Ocean
7,Rachid Taha,Barra Barra
7,Radical Face,The Mute
7,Radical Face,Welcome Home
7,Radiohead,Creep
7,Ray LaMontagne,Crazy
7,Ray LaMontagne,Beg Steal or Borrow
7,Ray LaMontagne,Shelter
7,Ray LaMontagne,Supernova
7,Ray LaMontagne,Empty
7,Ray LaMontagne,You Can Bring Me Flowers
7,Redd,Hala Ask Var Mi
7,Regina Spektor,Better
7,R.E.M.,Try Not To Breathe
7,R.E.M.,Leaving New York
7,R.E.M.,Can't Get There From Here
7,R.E.M.,Supernatural Superserious
7,R.E.M.,Sweetness Follows
7,R.E.M.,We Walk
7,Rick James,Super Freak
7,Robbie Robertson,Somewhere Down The Crazy River
7,Robert Plant,Rainbow
7,Roy Orbison,She's A Mystery To Me
7,Roy Orbison,"Oh, Pretty Woman"
7,Ry Cooder,The Very Thing That Makes You Rich
7,Sam Cooke,(What A) Wonderful World
7,Sharon Jones & The Dap-Kings,"100 Days, 100 Nights"
7,Shearwater,Filaments
7,Shivaree,Goodnight Moon (Live at KCRW)
7,Silversun Pickups,Rusted Wheel
7,Silversun Pickups,Growing Old Is Getting Old
7,Silversun Pickups,Three Seed
7,Snow Patrol,Somewhere a Clock is Ticking
7,Sophie Zelmani,If I Could
7,Southern Culture on the Skids,The Wet Spot
7,Spirit,Animal Zoo
7,Spoon,The Way We Get By
7,Spoon,Knock Knock Knock
7,Spoon,My Mathematical Mind
7,Steely Dan,Only a Fool Would Say That
7,Stephen Stills,So Begins The Task
7,Stevie Wonder,I Was Made to Love Her
7,Super Furry Animals,"Run! Christian, Run!"
7,Supertramp,School
7,Taj Mahal,Spike Driver Blues
7,Talking Heads,Once In A Lifetime
7,Talk Talk,Eden
7,Tame Impala,Elephant
7,The Beach Boys,Good Vibrations
7,The Beatles,Girl
7,The Beatles,Dear Prudence
7,The Beatles,We Can Work It Out
7,The Beatles,Across The Universe
7,The Beatles,Across The Universe
7,The Black Keys,Sister
7,The Black Keys,Too Afraid to Love You
7,The Boxer Rebellion,The Runner
7,The Byrds,My Back Pages
7,The Charlatans,Blackened Blue Eyes
7,The Cure,Pictures of You
7,The Cure,Boys Don't Cry
7,The Dandy Warhols,Godless
7,The Decemberists,This Is Why We Fight
7,The Decemberists,Rox In The Box
7,The Decemberists,Summersong
7,The Head and the Heart,Another Story
7,The Head and the Heart,Shake
7,The Jayhawks,I'd Run Away
7,The Levellers,Four Winds
7,The Mamas & The Papas,Dream A Little Dream Of Me
7,The National,Humiliation
7,The National,Fake Empire
7,The Orb,Toxygene
7,The Police,Roxanne
7,The Rolling Stones,Winter
7,The Rolling Stones,She's A Rainbow
7,The Rolling Stones,Jumpin' Jack Flash
7,The Rolling Stones,Let It Bleed
7,The Rolling Stones,Time Waits For No One
7,The Rolling Stones,Paint It Black
7,The Shins,Sea Legs
7,The Smashing Pumpkins,Violet Rays
7,The Smashing Pumpkins,1979
7,The Smiths,How Soon Is Now
7,The Stone Roses,Breaking Into Heaven
7,The Stone Roses,Love Spreads
7,The Verve,Bitter Sweet Symphony
7,The Waifs,Beautiful You
7,The Wallflowers,One Set Of Wings
7,The Wallflowers,Three Marlenas
7,The War on Drugs,Lost In The Dream
7,The Who,The Song Is Over
7,The Who,Quadrophenia
7,The XX,Angels
7,Thievery Corporation,Lebanese Blonde
7,Tim Buckley,Buzzin Fly
7,Tom Petty,It's Good To Be King
7,Tom Petty & The Heartbreakers,Something Good Coming
7,Tom Petty & The Heartbreakers,Tweeter and the Monkey Man (live)
7,Tom Petty & The Heartbreakers,Full Grown Boy
7,Toumani Diabate,Cantelowes
7,Townes Van Zandt,Lungs
7,Tracy Chapman,Three Little Birds (Live)
7,Traffic,Low Spark of High-Heeled Boys
7,Train,Mississippi
7,Traveling Wilburys,Tweeter And The Monkey Man
7,Triggerfinger,I Follow Rivers
7,Triggerfinger,Love Lost In Love
7,Tycho,Daydream
7,Tycho,A Walk
7,U2,Pride (In the Name of Love)
7,U2,One Tree Hill
7,U2,Sunday Bloody Sunday
7,Ultravox,Vienna
7,"Ungar, Mason & friends",Ashokan Farewell
7,Unkle,The Answer
7,Vienna Teng,Close to Home
7,Warren Zevon,Poor Poor Pitiful Me
7,Widespread Panic,Fishing
7,Wilco,How to Fight Loneliness
7,Wilco,"Jesus, Etc."
7,Wishbone Ash,Blowin' Free
7,Xavier Rudd,Follow The Sun
7,Yes,Long Distance Runaround & The Fish
7,Yes,Roundabout
7,Younger Brother,Train
7,Younger Brother,Happy Pills
7,Zoë Keating,Escape Artist
6,Afro Celt Sound System,The Silken Whip
6,Alexi Murdoch,Towards The Sun
6,Alexi Murdoch,Orange Sky
6,Alison Krauss & Union Station,Lie Awake
6,Amy MacDonald,Slow It Down
6,Andrew Bird,Desperation Breeds
6,Anna Ternheim,Solitary Move
6,Arcade Fire,Sprawl II (Mountains Beyond Mountains)
6,Arctic Monkeys,My Propeller
6,Avicii,Hey Brother
6,Band of Horses,On My Way Back Home
6,Beck,Tropicalia
6,Beck,Beautiful Way
6,Ben Christophers,Hooded Kiss
6,Beth Orton,Magpie
6,Beth Orton,Moon
6,Big Head Todd & The Monsters,Broken Hearted Savior
6,Björk,Play Dead
6,Björk,Human Behavior
6,Blackfield,End of the World
6,Black Rebel Motorcycle Club,American X
6,Black Rebel Motorcycle Club,Lose Yourself
6,Bob Dylan,Desolation Row
6,Bob Marley,Could You Be Loved
6,Bob Marley,"No Woman, No Cry"
6,Bob Marley,Sun Is Shining
6,Bob Marley,Stir it Up
6,Bob Marley,Three Little Birds
6,BoDeans,Fadeaway (live)
6,Bo Diddley,Who Do You Love
6,Bohren & Der Club Of Gore,Constant Fear
6,Bonnie Raitt,Spit of Love
6,Boy & Bear,Blood To Gold
6,Boy & Bear,Feeding Line
6,Boy & Bear,A Moment's Grace
6,Bruce Cockburn,Burden of the Angel-Beast
6,Bruce Springsteen,Spirit In The Night
6,Buena Vista Social Club,El Cuarto de Tula
6,Butthole Surfers,Pepper
6,Calexico,Splitter
6,Cat Power,Cherokee
6,Chet Atkins,Jam Man
6,Chris Rea,Road to Hell
6,Christians & Lions,Skinny Fists
6,Cloud Cult,When Water Comes to Life
6,Cloud Cult,Running With the Wolves
6,Corey Harris,Keep Your Lamp Trimmed and Burning
6,Counting Crows,Anna Begins
6,Cowboy Junkies,A Common Disaster
6,Cowboy Junkies,Brand New World
6,"Crosby, Stills, Nash & Young",Country Girl 
6,Dar Williams,I Am the One Who Will Remember Everythin
6,David Bowie,Ashes to Ashes
6,David Bowie,Ziggy Stardust (live)
6,David Bowie,Sound and Vision
6,David Crosby & Graham Nash,Lay Me Down
6,Dead Can Dance,The Ubiquitous Mr. Lovegrove
6,Death Cab for Cutie,Unobstructed Views
6,Death Cab for Cutie,You Are A Tourist
6,Depeche Mode,Precious
6,Depeche Mode,Enjoy The Silence
6,Doc & Merle Watson,Summertime
6,Donovan,Hurdy Gurdy Man
6,Donovan,Please Don't Bend
6,Doves,Compulsion
6,Eastmountainsouth,Hard Times
6,Elbow,The Birds
6,Eleanor McEvoy,Precious Little
6,Elliott Smith,Waltz #2
6,Elvis Costello,Veronica
6,Emmylou Harris,Where Will I Be
6,Etta James,The Rock
6,Faces,Stay With Me
6,Fairport Convention,Farewell Farewell
6,Finn Brothers,Paradise (Wherever You Are)
6,Fleetwood Mac,Man Of The World
6,Frank Sinatra,Fly Me To The Moon
6,Glenn Miller,In The Mood
6,GoldFish,Moonwalk Away
6,Goldfrapp,Thea
6,Gomez,How We Operate
6,Gotye,Heart's A Mess
6,Grandaddy,The Crystal Lake
6,Great Lake Swimmers,Your Rocky Spine
6,Guster,The Captain
6,Harry Manx,Bring That Thing (live)
6,Herbie Hancock,Watermelon Man
6,Hot Tuna,True Religion
6,INXS,Don't Change
6,Iron & Wine,Free Until They Cut Me Down
6,Israel Kamakawiwo'ole,Somewhere/Wonderful
6,Jack White,On And On And On
6,James,Sometimes
6,Jehro,Everything
6,John Lennon,Mind Games
6,Joni Mitchell,Hejira
6,José González,Leaf Off/The Cave
6,Joseph Arthur,In The Sun
6,Joseph Arthur,Wasted Days
6,Junior Brown,Surf Medley
6,Kasabian,Secret Alphabets
6,Kate Miller-Heidke,Sarah
6,Kathleen Edwards,"Goodnight, California"
6,King Crimson,One Time
6,KT Tunstall,White Bird
6,KT Tunstall,Feel It All
6,KT Tunstall,Lost
6,Lemon Jelly,Homage To Patagonia
6,Leonard Cohen,Waiting For A Miracle
6,Leonard Cohen,A Thousand Kisses Deep
6,Little Feat,Oh Atlanta
6,Lou Rawls,You'll Never Find Another Love
6,Moby,The Perfect Life
6,Morcheeba,Over & Over
6,Muddy Waters,Baby Please Don't Go
6,Muddy Waters,I Can't Be Satisfied
6,Mumford & Sons,Snake Eyes
6,My Morning Jacket,Gideon
6,Nat King Cole,(Get Your Kicks On) Route 66
6,Neil Finn,Turn and Run
6,Neil Young,Unknown Legend
6,Neil Young,Throw Your Hatred Down
6,Neil Young,Cowgirl In The Sand
6,Neko Case,Wild Creatures
6,New Order,Waiting For The Sirens' Call
6,Nick Lowe,"Peace, Love And Understanding"
6,Nick Lowe,Switch Board Susan
6,Noir Désir,Le Vent Nous Portera
6,Okkervil River,Lost Coastlines
6,Oliver Mtukudzi,Ndima Ndapedza
6,Orbital,The Box
6,Otis Redding,Hard To Handle
6,Otis Redding,These Arms of Mine
6,Passenger,Night Vision Binoculars
6,Patty Griffin,Wade In The Water
6,Peter Gabriel,Don't Give Up
6,Peter Gabriel,Digging in the Dirt
6,Peter Gabriel & Friends,"Burn You Up, Burn You Down"
6,Peter Murphy,All Night Long
6,Philip Glass,Opening
6,Pink Martini,Hang On Little Tomato
6,Porcupine Tree,A Smart Kid (Live)
6,Queens of the Stone Age,I Never Came
6,Rachael Yamagata,Accident
6,Rachel Sermanni,The Fog
6,Radical Face,Black Eyes
6,Radiohead,Reckoner
6,Radiohead,There There
6,Radiohead,Optimistic
6,Radiohead,Fake Plastic Trees
6,Regina Spektor,Patron Saint
6,R.E.M.,Sitting Still
6,R.E.M.,How The West Was Won And Where It Got Us
6,Riverside,Schizophrenic Prayer
6,Rosanne Cash,Modern Blue
6,Rusted Root,Send Me On My Way
6,Sade,No Ordinary Love
6,Santana,Soul Sacrifice
6,Sarah Blasko,God-Fearing
6,Screaming Trees,More or Less
6,Shivaree,I Close My Eyes
6,Silversun Pickups,Here We Are (Chancer)
6,Simon & Garfunkel,I Am A Rock
6,Simon & Garfunkel,Bridge Over Troubled Water
6,Sinead Lohan,No Mermaid
6,Smiths,Well I Wonder
6,Sophie Solomon,Holy Devil
6,Soweto String Quartet,Saint Agnes and the Burning Train
6,Stephen Marley,You're Gonna Leave
6,Stevie Wonder,I Believe
6,Talking Heads,This Must Be The Place (Naive Melody)
6,T Bone Burnett,Over You
6,The American Analog Set,Hard to Find
6,The Audreys,Long Ride
6,The Bad Plus,Flim
6,The Band,Chest Fever
6,The Boxer Rebellion,Semi Automatic
6,The Burned,Listen
6,The Cardigans,You're The Storm
6,The Cars,Dangerous Type
6,The Clash,Rock the Casbah
6,The Coral Sea,Under The Westway
6,The Cure,Just Like Heaven
6,The Cure,Lullaby (extended mix)
6,The Dandy Warhols,Love Song
6,The Decemberists,Don't Carry It All
6,The Derek Trucks Band,This Sky
6,The Duhks,Banjo Roustabout
6,The Frames,The Cost
6,The Kinks,Living On A Thin Line
6,The Lightning Seeds,Pure
6,The Moody Blues,Tuesday Afternoon
6,thenewno2,Hanging On
6,The New Pornographers,The Bleeding Heart Show
6,The New Pornographers,From Blown Speakers
6,The Rolling Stones,Ruby Tuesday
6,The Smithereens,Blood And Roses
6,The The,Uncertain Smile (remix)
6,The Wailin' Jennys,Storm Comin'
6,The Wallflowers,Love Is A Country
6,The Waterboys,Sweet Thing
6,The Weepies,Jolene
6,The Who,Amazing Journey/Sparks
6,Thievery Corporation,Amerimacka (Feat Notch)
6,Tom Petty & The Heartbreakers,Here Comes My Girl
6,Tom Waits,Hold On
6,Toots & The Maytals,"Take Me Home, Country Roads"
6,Tori Amos,Father Lucifer
6,Traffic,Heaven Is In Your Mind
6,Travis,Love Will Come Through
6,Trespassers William,Different Stars
6,U2,Staring At The Sun
6,U2,The Fly
6,U2,Bad (Live)
6,U2,So Cruel
6,Unkle,The Healing (w/ Gavin Clark)
6,Van Morrison,Crazy Love
6,Vast,Frog
6,Velvet Underground,Sweet Jane
6,Without Gravity,Waterfall
6,Xavier Rudd,Spirit Bird
6,Zero 7,Home
5,1 Giant Leap,The Way You Dream
5,Afro Celt Sound System,Mojave
5,Ali Farka Touré,Asco
5,Amadou & Mariam,Compagnon De La Vie
5,Amadou & Mariam,Coulibaly
5,Baka Beyond,Spirit of the Forest
5,Ben Harper,Jah Work
5,Björk,Big Time Sensuality
5,Black Rebel Motorcycle Club,Rifles
5,Black Rebel Motorcycle Club,Weight of the World
5,Blind Melon,Change
5,Bombino,Amidinine
5,Broken Social Scene,World Sick
5,Burlap to Cashmere,Build a Wall
5,Calexico,Crystal Frontier (Widescreen)
5,Choir of Young Believers,Hollow Talk
5,Cloud Cult,The Mission: Unexplainable Stories
5,Cracker,Low
5,"Crosby, Stills & Nash",Suite- Judy Blue Eyes
5,Dave Matthews Band,Broken Things
5,David Bowie,Waterloo Sunset
5,David Bowie,Let's Dance
5,David Gilmour,Short and Sweet
5,David Gilmour,Fat Old Sun (live)
5,David Gray,Let The Good Things Come
5,Death Cab for Cutie,Transatlanticism
5,Django Reinhardt,You Rascal You
5,Doyle Dykes,Jazz in the Box
5,Eivør,Rain
5,Elton John,Mona Lisas And Mad Hatters
5,Feist,Caught A Long Wind
5,John Hiatt,Sometime Other Than Now
5,Mary McCaslin,Things We Said Today
5,Michael Kiwanuka,Home Again
5,Moby,Almost Home
5,Nashville Mandolin Trio,As Far As I Can See
5,Neil Young,Only Love Can Break Your Heart
5,Ofra Haza,Im Nin Alu
5,Oingo Boingo,Just Another Day
5,Other Lives,Fair Weather
5,Patty Griffin,Love Throw A Line
5,Peter Gabriel,Games Without Frontiers (Massive Attack 
5,Peter Gabriel,Blood Of Eden
5,Poe,Control
5,Radiohead,Codex
5,Radiohead,Separator
5,R.E.M.,Fall On Me
5,Serafina Steer,Night Before Mutiny
5,Sigur Rós,Olsen Olsen
5,Sinéad O'Connor,Nothing Compares 2 U
5,Small Faces,Itchycoo Park
5,Spirit,Morning Will Come
5,The Airborne Toxic Event,All I Ever Wanted
5,The Jayhawks,Clouds
5,The Kinks,Celluloid Heroes
5,The Moody Blues,Om
5,The Pogues,Dirty Old Town
5,The Police,Wrapped Around Your Finger
5,The Rosebuds,Second Bird of Paradise
5,The Shins,Sleeping Lessons
5,The Walkabouts,They Are Not Like Us
5,Tom Waits,Heartattack And Vine
5,Tom Waits,Get Behind The Mule
5,Tonolec,Plegaria del Árbol Negro
5,Tracy Chapman,New Beginning
5,Turin Brakes,Goodbye
5,Woodkid,Boat Song
5,Yungchen Lhamo,Sky
1,Nirvana,All Apologies
2,Lana Del Rey,Video Games
2,The Cure,The Love Cats
2,The Police,Bring On The Night
2,The Sisters of Mercy,More
3,Avicii,Wake Me Up
3,!Deladap,Lautlos
3,Gogol Bordello,Pala Tute
3,Patty Griffin,Ohio
3,Patty Griffin,One Big Love
3,Radiohead,All I Need
3,Righteous Brothers,Unchained Melody
3,Tears for Fears,Head Over Heels
3,The Moody Blues,Lovely To See You
3,The Police,Driven To Tears
3,They Might Be Giants,Istanbul Not Constantinople
3,Tom Waits,Chocolate Jesus
4,Arcade Fire,Here Comes the Night Time
4,Beth Orton,Concrete Sky
4,Big Joe Turner,"Shake, Rattle & Roll"
4,Black Rebel Motorcycle Club,Fault Line
4,Bob Marley,Get Up Stand Up
4,David Lindley,Gimme Da 'Ting
4,Elliott Smith,Angeles
4,Elvis Presley,A Fool Such As I
4,Feist,I Feel It All
4,Garmarna,Euchari
4,Lisa Gerrard & Pieter Bourke,Forest Veil
4,Neil Young,Powderfinger
4,Peter Tosh,Mystery Babylon
4,Radiohead,Let Down
4,Squeeze,Another Nail For My Heart
4,The Blasters,I'm Shakin'
4,U2,I Will Follow
